基金代码,基金简称,基金成立日,修正基金成立日,成立年限,基金标签,投资类型(二级),基金经理(现任),基金公司,是否定期开放基金,管理费(%),托管费(%),申购赎回状态,基金规模(合计)
110007.OF,易方达稳健收益A,2005/9/19,2005/9/19,16.46,平衡型,混合债券型二级基金,胡剑,易方达基金,否,0.6,0.2,暂停大额申购|开放赎回,707.62
110017.OF,易方达增强回报A,2008/3/19,2008/3/19,13.96,平衡型,混合债券型一级基金,王晓晨,易方达基金,否,0.65,0.2,开放申购|开放赎回,230.45
110027.OF,易方达安心回报A,2011/6/21,2011/6/21,10.71,激进型,混合债券型二级基金,张清华,易方达基金,否,0.7,0.2,开放申购|开放赎回,278.05
110035.OF,易方达双债增强A,2011/12/1,2011/12/1,10.26,激进型,混合债券型一级基金,"王晓晨,胡文伯",易方达基金,否,0.7,0.2,开放申购|开放赎回,86.25
121001.OF,国投瑞银融华债券,2003/4/16,2003/4/16,18.89,激进型,偏债混合型基金,杨枫,国投瑞银基金,否,0.75,0.2,开放申购|开放赎回,1.37
121009.OF,国投瑞银稳定增利,2008/1/11,2008/1/11,14.15,稳健型,混合债券型一级基金,王侃,国投瑞银基金,否,0.6,0.2,暂停大额申购|开放赎回,3.07
121012.OF,国投瑞银优化增强AB,2010/9/8,2010/9/8,11.49,平衡型,混合债券型二级基金,"吴潇,宋璐,杨枫",国投瑞银基金,否,0.75,0.2,开放申购|开放赎回,42.46
151002.OF,银河收益,2003/8/4,2003/8/4,18.59,平衡型,偏债混合型基金,韩晶,银河基金,否,0.75,0.2,开放申购|开放赎回,11.53
160323.OF,华夏磐泰LOF,2016/12/26,2018/7/17,5.19,平衡型,偏债混合型基金,"张城源,毛颖",华夏基金,否,1,0.2,开放申购|开放赎回,9.42
160513.OF,稳健债LOF,2014/6/10,2014/6/10,7.73,稳健型,混合债券型一级基金,邓欣雨,博时基金,否,0.6,0.15,开放申购|开放赎回,49.85
160612.OF,鹏华丰收,2008/5/28,2008/5/28,13.77,平衡型,混合债券型二级基金,刘太阳,鹏华基金,否,0.6,0.2,开放申购|开放赎回,24.51
160621.OF,鹏华丰和LOF,2012/11/5,2015/11/5,9.33,激进型,混合债券型二级基金,戴钢,鹏华基金,否,0.8,0.2,开放申购|开放赎回,3.69
160622.OF,鹏华丰利LOF,2016/4/25,2016/4/25,5.86,稳健型,中长期纯债型基金,王石千,鹏华基金,否,0.7,0.2,暂停大额申购|开放赎回,61.32
161010.OF,富国天丰LOF,2008/10/24,2011/10/24,13.36,稳健型,混合债券型一级基金,张明凯,富国基金,否,0.6,0.2,开放申购|开放赎回,32.35
161015.OF,富国天盈LOF,2014/5/23,2014/5/23,7.78,稳健型,混合债券型一级基金,俞晓斌,富国基金,否,0.7,0.2,开放申购|开放赎回,40.73
161115.OF,易基岁丰添利LOF,2010/11/9,2013/11/11,11.32,稳健型,混合债券型一级基金,胡剑,易方达基金,否,0.3,0.1,开放申购|开放赎回,28.27
161216.OF,国投双债LOF,2011/3/29,2014/3/29,10.94,稳健型,混合债券型一级基金,"李达夫,宋璐",国投瑞银基金,否,0.7,0.2,开放申购|开放赎回,9.66
161505.OF,银河通利债券LOF,2014/4/25,2014/4/25,7.86,稳健型,混合债券型一级基金,何晶,银河基金,否,0.7,0.2,开放申购|开放赎回,6.15
161722.OF,招商丰泰LOF,2015/4/17,2015/4/17,6.88,平衡型,灵活配置型基金,张潇潇,招商基金,否,0.6,0.15,暂停大额申购|开放赎回,6.36
161908.OF,万家添利LOF,2014/6/3,2014/6/3,7.75,激进型,混合债券型一级基金,陈佳昀,万家基金,否,0.7,0.2,开放申购|开放赎回,1.15
162205.OF,泰达宏利风险预算,2005/4/5,2005/4/5,16.92,激进型,偏债混合型基金,"刘欣,宁霄",泰达宏利基金,否,0.7,0.25,开放申购|开放赎回,2.88
162210.OF,泰达宏利集利A,2008/9/26,2008/9/26,13.44,平衡型,混合债券型二级基金,"宋加旺,李宇璐",泰达宏利基金,否,0.6,0.2,开放申购|开放赎回,10
162414.OF,新机遇LOF,2015/6/11,2015/6/11,6.73,平衡型,灵活配置型基金,林昊,华宝基金,否,0.6,0.25,开放申购|开放赎回,9.03
162712.OF,广发聚利LOF,2011/8/5,2014/8/5,10.58,稳健型,混合债券型一级基金,代宇,广发基金,否,0.6,0.2,暂停大额申购|开放赎回,9.49
163003.OF,长信利鑫LOF,2016/6/24,2016/6/24,5.69,稳健型,混合债券型一级基金,张文P,长信基金,否,0.7,0.2,开放申购|开放赎回,2.77
163005.OF,长信利众LOF,2016/2/4,2016/2/4,6.08,稳健型,混合债券型一级基金,"倪伟,刘婧",长信基金,否,0.7,0.2,暂停大额申购|开放赎回,4.66
163806.OF,中银稳健增利,2008/11/13,2008/11/13,13.31,稳健型,混合债券型一级基金,奚鹏洲,中银基金,否,0.7,0.2,开放申购|开放赎回,17.86
163811.OF,中银稳健双利A,2010/11/24,2010/11/24,11.28,平衡型,混合债券型二级基金,奚鹏洲,中银基金,否,0.7,0.2,开放申购|开放赎回,32.81
163819.OF,中银信用增利LOF,2012/3/12,2015/3/12,9.98,稳健型,混合债券型一级基金,"奚鹏洲,周毅",中银基金,否,0.7,0.2,开放申购|开放赎回,31.43
163825.OF,中银互利定期开放,2017/11/9,2017/11/9,4.32,稳健型,中长期纯债型基金,"奚鹏洲,周毅",中银基金,是,0.6,0.15,暂停申购|暂停赎回,2.2
164105.OF,华富强债LOF,2010/9/8,2013/9/9,11.49,平衡型,混合债券型一级基金,尹培俊,华富基金,否,0.6,0.2,开放申购|开放赎回,18.81
164208.OF,天弘丰利LOF,2014/11/24,2014/11/24,7.28,稳健型,混合债券型一级基金,杜广,天弘基金,否,0.3,0.1,开放申购|开放赎回,16.1
164808.OF,工银四季LOF,2011/2/10,2014/2/10,11.07,稳健型,混合债券型一级基金,何秀红,工银瑞信基金,否,0.6,0.2,暂停大额申购|开放赎回,27.98
165311.OF,信用债LOF,2011/6/16,2014/6/16,10.72,稳健型,混合债券型一级基金,李峰,建信基金,否,0.3,0.1,暂停大额申购|开放赎回,2.65
165526.OF,信诚新旺回报A,2015/6/19,2015/6/19,6.71,平衡型,灵活配置型基金,"提云涛,杨立春",中信保诚基金,否,0.6,0.2,暂停大额申购|开放赎回,9.12
166010.OF,中欧鼎利A,2017/9/18,2017/9/18,4.46,激进型,混合债券型二级基金,洪慧梅,中欧基金,否,0.7,0.1,开放申购|开放赎回,10.32
169106.OF,东方红创优定开,2018/3/22,2018/3/22,3.95,平衡型,偏债混合型基金,"孔令超,陈觉平",东证资管,是,0.7,0.2,暂停申购|暂停赎回,14.13
180015.OF,银华增强收益,2008/12/3,2008/12/3,13.25,平衡型,混合债券型二级基金,"贾鹏,冯帆",银华基金,否,0.65,0.2,开放申购|开放赎回,5.06
180025.OF,银华信用双利A,2010/12/3,2010/12/3,11.25,平衡型,混合债券型二级基金,"贾鹏,孙慧",银华基金,否,0.7,0.2,开放申购|开放赎回,36.03
202101.OF,南方宝元债券A,2002/9/20,2002/9/20,19.46,激进型,混合债券型二级基金,林乐峰,南方基金,否,0.75,0.18,开放申购|开放赎回,168.55
202102.OF,南方多利增强C,2006/3/27,2006/3/27,15.95,稳健型,混合债券型一级基金,李璇,南方基金,否,0.6,0.2,开放申购|开放赎回,41.37
202105.OF,南方广利回报AB,2010/11/3,2010/11/3,11.34,激进型,混合债券型二级基金,刘文良,南方基金,否,0.65,0.2,开放申购|开放赎回,89.07
206003.OF,鹏华信用增利A,2010/5/31,2010/5/31,11.76,平衡型,混合债券型二级基金,方昶,鹏华基金,否,0.6,0.2,开放申购|开放赎回,62.99
206008.OF,鹏华丰盛稳固收益,2011/4/25,2011/4/25,10.86,平衡型,混合债券型二级基金,范晶伟,鹏华基金,否,0.7,0.2,开放申购|开放赎回,72.81
206013.OF,鹏华宏观,2012/6/13,2018/7/19,9.73,激进型,灵活配置型基金,戴钢,鹏华基金,否,0.8,0.2,暂停大额申购|开放赎回,8.81
206018.OF,鹏华产业债,2013/2/6,2013/2/6,9.07,稳健型,中长期纯债型基金,祝松,鹏华基金,否,0.6,0.2,暂停大额申购|开放赎回,30.62
210006.OF,金鹰元禧A,2017/6/27,2017/6/27,4.68,平衡型,偏债混合型基金,杨晓斌,金鹰基金,否,0.6,0.2,暂停大额申购|开放赎回,7.98
210010.OF,金鹰灵活配置A,2015/5/6,2015/5/6,6.83,平衡型,灵活配置型基金,杨晓斌,金鹰基金,否,0.8,0.15,暂停大额申购|开放赎回,7.67
213007.OF,宝盈增强收益AB,2008/5/15,2008/5/15,13.81,平衡型,混合债券型二级基金,"邓栋,张仲维",宝盈基金,否,0.6,0.2,开放申购|开放赎回,5.3
217008.OF,招商安本增利C,2006/7/11,2006/7/11,15.65,稳健型,混合债券型二级基金,"滕越,王娟娟",招商基金,否,0.7,0.15,开放申购|开放赎回,18.98
217023.OF,招商信用增强A,2012/7/20,2012/7/20,9.62,稳健型,混合债券型二级基金,滕越,招商基金,否,0.7,0.2,开放申购|开放赎回,2.47
217024.OF,招商安盈A,2012/8/20,2018/9/22,9.54,激进型,混合债券型二级基金,"尹晓红,蔡振",招商基金,否,0.7,0.2,暂停大额申购|开放赎回,24.53
233005.OF,大摩强收益债券,2009/12/29,2009/12/29,12.18,稳健型,混合债券型一级基金,施同亮,摩根士丹利华鑫基金,否,0.7,0.2,暂停大额申购|开放赎回,55.29
233012.OF,大摩多元收益A,2012/8/28,2012/8/28,9.52,平衡型,混合债券型二级基金,李轶,摩根士丹利华鑫基金,否,0.75,0.2,暂停大额申购|开放赎回,12.56
253010.OF,国联安安心成长,2005/7/13,2005/7/13,16.65,平衡型,灵活配置型基金,"杨子江,薛琳",国联安基金,否,1,0.25,暂停大额申购|开放赎回,6.65
270029.OF,广发聚财信用A,2012/3/13,2012/3/13,9.98,稳健型,混合债券型一级基金,代宇,广发基金,否,0.7,0.2,暂停大额申购|开放赎回,4.46
310508.OF,申万菱信稳益宝A,2011/2/11,2011/2/11,11.06,平衡型,混合债券型二级基金,范磊,申万菱信基金,否,0.5,0.1,开放申购|开放赎回,2.91
320021.OF,诺安双利,2012/11/29,2012/11/29,9.26,激进型,混合债券型二级基金,"夏荣尧,曲泉儒",诺安基金,否,0.7,0.2,开放申购|开放赎回,33.98
340009.OF,兴全磐稳增利债券A,2009/7/23,2009/7/23,12.62,平衡型,混合债券型一级基金,张睿,兴证全球基金,否,0.7,0.2,开放申购|开放赎回,31.54
360008.OF,光大增利A,2008/10/29,2008/10/29,13.35,稳健型,混合债券型一级基金,黄波,光大保德信基金,否,0.6,0.2,暂停大额申购|开放赎回,24.53
371020.OF,上投摩根纯债A,2009/6/24,2009/6/24,12.7,稳健型,中长期纯债型基金,聂曙光,上投摩根基金,否,0.6,0.2,开放申购|开放赎回,1.52
372010.OF,上投摩根强化回报A,2011/8/10,2011/8/10,10.57,平衡型,混合债券型二级基金,"陈圆明,唐瑭",上投摩根基金,否,0.4,0.1,开放申购|开放赎回,7.6
380009.OF,中银稳健添利A,2013/2/4,2013/2/4,9.08,稳健型,混合债券型二级基金,陈玮,中银基金,否,0.6,0.2,开放申购|开放赎回,78.86
400009.OF,东方稳健回报A,2008/12/10,2008/12/10,13.24,稳健型,混合债券型一级基金,刘长俊,东方基金,否,0.3,0.1,开放申购|开放赎回,8.05
400016.OF,东方强化收益,2012/10/9,2012/10/9,9.4,平衡型,混合债券型二级基金,许文波,东方基金,否,0.8,0.2,开放申购|开放赎回,7.57
400027.OF,东方双债添利A,2014/9/24,2014/9/24,7.44,激进型,混合债券型二级基金,杨贵宾,东方基金,否,0.7,0.2,开放申购|开放赎回,18.73
410004.OF,华富收益增强A,2008/5/28,2008/5/28,13.77,平衡型,混合债券型一级基金,尹培俊,华富基金,否,0.6,0.2,开放申购|开放赎回,28.82
420002.OF,天弘永利债券A,2008/4/18,2008/4/18,13.88,平衡型,混合债券型二级基金,"姜晓丽,张寓,杜广,赵鼎龙",天弘基金,否,0.7,0.2,暂停大额申购|开放赎回,287.83
420009.OF,天弘安康颐养A,2012/11/28,2012/11/28,9.27,平衡型,偏债混合型基金,"姜晓丽,于洋,王华,王昌俊",天弘基金,否,0.9,0.2,开放申购|开放赎回,37.83
450005.OF,国富强化收益A,2008/10/24,2008/10/24,13.36,平衡型,混合债券型二级基金,刘怡敏,国海富兰克林基金,否,0.6,0.2,开放申购|开放赎回,6.35
470010.OF,汇添富多元收益A,2012/9/18,2012/9/18,9.46,平衡型,混合债券型二级基金,刘通,汇添富基金,否,0.7,0.2,开放申购|开放赎回,4.66
470018.OF,汇添富双利A,2014/1/28,2014/1/28,8.1,平衡型,混合债券型二级基金,吴江宏,汇添富基金,否,0.7,0.2,开放申购|开放赎回,245.52
470088.OF,汇添富6月红添利A,2016/2/17,2016/2/17,6.04,平衡型,混合债券型二级基金,吴江宏,汇添富基金,是,0.2,0.2,暂停申购|暂停赎回,12.54
485105.OF,工银瑞信增强收益A,2007/5/11,2007/5/11,14.82,平衡型,混合债券型一级基金,"杜海涛,张略钊",工银瑞信基金,否,0.6,0.2,开放申购|开放赎回,8.35
485107.OF,工银瑞信信用添利A,2008/4/14,2008/4/14,13.89,稳健型,混合债券型一级基金,谷衡,工银瑞信基金,否,0.6,0.2,暂停大额申购|开放赎回,3.63
485111.OF,工银瑞信双利A,2010/8/16,2010/8/16,11.55,稳健型,混合债券型二级基金,"欧阳凯,徐博文",工银瑞信基金,否,0.7,0.2,暂停大额申购|开放赎回,201.06
485114.OF,工银瑞信添颐A,2011/8/10,2011/8/10,10.57,激进型,混合债券型二级基金,"杜海涛,景晓达",工银瑞信基金,否,0.7,0.2,开放申购|开放赎回,19.45
501027.OF,国泰融信LOF,2017/3/2,2018/9/3,5.01,平衡型,灵活配置型基金,戴计辉,国泰基金,否,0.9,0.25,暂停大额申购|开放赎回,10.22
501053.OF,东方红目标优选,2017/12/18,2017/12/18,4.21,平衡型,偏债混合型基金,"徐觅,孔令超",东证资管,是,0.7,0.2,暂停申购|暂停赎回,7.93
519007.OF,海富通强化回报,2006/5/25,2006/5/25,15.78,激进型,灵活配置型基金,"陶敏,方昆明",海富通基金,否,1.5,0.25,开放申购|开放赎回,2.76
519030.OF,海富通稳固收益,2010/11/23,2010/11/23,11.28,平衡型,混合债券型二级基金,"陈轶平,江勇",海富通基金,否,0.7,0.2,开放申购|开放赎回,38.69
519050.OF,海富通安颐收益A,2013/5/29,2013/5/29,8.77,平衡型,灵活配置型基金,"杜晓海,夏妍妍",海富通基金,否,1,0.25,暂停大额申购|开放赎回,16.96
519127.OF,浦银安盛盛世精选A,2014/6/26,2014/6/26,7.69,激进型,灵活配置型基金,褚艳辉,浦银安盛基金,否,1.5,0.25,开放申购|开放赎回,5.39
519130.OF,海富通新内需A,2014/11/27,2014/11/27,7.27,激进型,灵活配置型基金,"张靖爽,朱斌全",海富通基金,否,1.2,0.25,开放申购|开放赎回,4.59
519134.OF,海富通富祥,2016/7/27,2016/7/27,5.6,平衡型,偏债混合型基金,"朱斌全,夏妍妍",海富通基金,否,1.2,0.2,暂停大额申购|开放赎回,6.64
519162.OF,新华增怡A,2013/12/4,2013/12/4,8.25,平衡型,混合债券型二级基金,王丹,新华基金,否,0.7,0.2,开放申购|开放赎回,14.57
519175.OF,浦银安盛经济带崛起A,2017/2/7,2017/2/7,5.07,激进型,灵活配置型基金,褚艳辉,浦银安盛基金,否,1.5,0.25,开放申购|开放赎回,1.33
519222.OF,海富通欣益A,2016/9/7,2016/9/7,5.49,平衡型,灵活配置型基金,"夏妍妍,朱斌全",海富通基金,否,0.6,0.15,开放申购|开放赎回,7.95
519229.OF,海富通欣享A,2017/3/10,2017/3/10,4.98,平衡型,灵活配置型基金,"谈云飞,朱斌全",海富通基金,否,0.6,0.15,开放申购|开放赎回,11.05
519616.OF,银河君信A,2016/9/7,2016/9/7,5.49,平衡型,灵活配置型基金,"刘铭,石磊",银河基金,否,0.6,0.1,暂停大额申购|开放赎回,5.57
519625.OF,银河君盛A,2016/12/9,2016/12/9,5.23,激进型,灵活配置型基金,"刘铭,卢轶乔",银河基金,否,0.6,0.1,开放申购|开放赎回,5.27
519627.OF,银河君润A,2016/12/27,2016/12/27,5.18,平衡型,灵活配置型基金,"刘铭,祝建辉",银河基金,否,0.6,0.1,暂停大额申购|开放赎回,7.92
519652.OF,银河鑫利A,2015/4/22,2015/4/22,6.87,激进型,灵活配置型基金,"卢轶乔,刘铭",银河基金,否,0.6,0.25,开放申购|开放赎回,8.81
519666.OF,银河银信添利B,2007/3/14,2007/3/14,14.98,稳健型,混合债券型一级基金,蒋磊,银河基金,否,0.65,0.2,开放申购|开放赎回,1.44
519676.OF,银河强化收益,2011/5/31,2014/6/9,10.76,平衡型,混合债券型二级基金,"祝建辉,魏璇",银河基金,否,0.7,0.2,开放申购|开放赎回,2.79
519680.OF,交银增利债券A,2008/3/31,2008/3/31,13.93,稳健型,混合债券型一级基金,魏玉敏,交银施罗德基金,否,0.6,0.2,开放申购|开放赎回,52.13
519738.OF,交银周期回报A,2014/5/22,2014/5/22,7.79,平衡型,灵活配置型基金,王艺伟,交银施罗德基金,否,0.6,0.25,开放申购|开放赎回,55.37
519752.OF,交银新回报A,2015/5/15,2015/5/15,6.81,稳健型,灵活配置型基金,王艺伟,交银施罗德基金,否,0.8,0.2,开放申购|开放赎回,61.55
519755.OF,交银多策略回报A,2015/6/2,2015/6/2,6.76,平衡型,灵活配置型基金,王艺伟,交银施罗德基金,否,0.6,0.25,开放申购|开放赎回,56.11
519768.OF,交银优选回报A,2016/4/22,2016/4/22,5.87,稳健型,灵活配置型基金,王艺伟,交银施罗德基金,否,0.6,0.2,暂停大额申购|开放赎回,18.92
519770.OF,交银优择回报A,2016/4/22,2016/4/22,5.87,稳健型,灵活配置型基金,王艺伟,交银施罗德基金,否,0.6,0.2,暂停大额申购|开放赎回,16.58
519933.OF,长信利发,2016/6/28,2016/6/28,5.68,平衡型,混合债券型二级基金,程放,长信基金,否,0.7,0.2,开放申购|开放赎回,4.03
519947.OF,长信利保A,2015/11/16,2015/11/16,6.3,稳健型,混合债券型二级基金,冯彬,长信基金,否,0.5,0.1,开放申购|开放赎回,1.34
519949.OF,长信利信A,2016/11/10,2016/11/10,5.31,平衡型,灵活配置型基金,"叶松,陆晓锋",长信基金,否,0.6,0.2,暂停大额申购|开放赎回,3.41
519957.OF,长信睿进A,2015/7/6,2015/7/6,6.66,平衡型,灵活配置型基金,叶松,长信基金,否,1.5,0.25,开放申购|开放赎回,16.52
519963.OF,长信利盈A,2015/6/9,2015/6/9,6.74,激进型,灵活配置型基金,"李家春,吴晖",长信基金,否,0.6,0.1,暂停大额申购|开放赎回,7.91
519969.OF,长信新利,2015/2/11,2015/2/11,7.06,平衡型,灵活配置型基金,"叶松,陆晓锋",长信基金,否,0.6,0.25,暂停大额申购|开放赎回,1.71
519989.OF,长信利丰C,2008/12/29,2008/12/29,13.18,平衡型,混合债券型二级基金,"李家春,吴晖",长信基金,否,0.7,0.2,开放申购|开放赎回,13.29
530008.OF,建信稳定增利C,2008/6/25,2008/6/25,13.7,稳健型,混合债券型一级基金,尹润泉,建信基金,否,0.7,0.2,开放申购|开放赎回,4.85
530009.OF,建信收益增强A,2009/6/2,2009/6/2,12.76,平衡型,混合债券型二级基金,牛兴华,建信基金,否,0.7,0.2,暂停大额申购|开放赎回,1.08
540001.OF,汇丰晋信2016,2006/5/23,2006/5/23,15.79,稳健型,混合债券型二级基金,蔡若林,汇丰晋信基金,否,0.38,0.1,开放申购|开放赎回,1.34
550004.OF,信诚三得益债券A,2008/9/27,2008/9/27,13.44,平衡型,混合债券型二级基金,"宋海娟,韩海平",中信保诚基金,否,0.7,0.2,开放申购|开放赎回,20.68
573003.OF,诺德增强收益,2009/3/4,2009/3/4,13.01,稳健型,混合债券型二级基金,"景辉,郝旭东,谢屹",诺德基金,否,0.75,0.2,开放申购|开放赎回,2.51
610008.OF,信达澳银信用债A,2013/5/14,2013/5/14,8.81,激进型,混合债券型二级基金,张F,信达澳银基金,否,0.3,0.1,开放申购|开放赎回,6.54
620003.OF,金元顺安丰利,2009/3/23,2009/3/23,12.95,平衡型,混合债券型二级基金,"周博洋,贾丽杰",金元顺安基金,否,0.7,0.1,开放申购|开放赎回,15.08
620009.OF,金元顺安丰祥,2015/1/14,2015/1/14,7.14,稳健型,中长期纯债型基金,周博洋,金元顺安基金,否,0.3,0.1,开放申购|开放赎回,5.2
630007.OF,华商稳健双利A,2010/8/9,2010/8/9,11.57,平衡型,混合债券型二级基金,张永志,华商基金,否,0.7,0.2,开放申购|开放赎回,3.87
630009.OF,华商稳定增利A,2011/3/15,2011/3/15,10.98,激进型,混合债券型二级基金,张永志,华商基金,否,0.7,0.2,开放申购|开放赎回,43.55
690002.OF,民生加银增强收益A,2009/7/21,2009/7/21,12.62,平衡型,混合债券型二级基金,关键,民生加银基金,否,0.7,0.2,开放申购|开放赎回,12.32
750002.OF,安信目标收益A,2012/9/25,2012/9/25,9.44,稳健型,中长期纯债型基金,"张翼飞,黄琬舒",安信基金,否,0.7,0.2,暂停大额申购|开放赎回,41.63
