code,R1,R2,R3,R4,R5,R6,R7,R8,R9
005679.OF,12.32,19.22,7.63,12.32,26.13,26.13,26.13,8.11,12.42
005686.OF,8,11.95,6.58,8,27.45,27.46,27.47,3.93,7.96
005706.OF,5.99,7.25,3.48,5.99,27.45,27.44,27.45,3.56,6.02
005746.OF,9.66,13.51,7.13,9.65,35.43,35.43,35.43,7.91,9.73
005750.OF,6.81,15.38,5.9,6.82,31.05,31.04,31.04,2.77,6.78
005823.OF,4.57,8.35,3,4.56,30.89,30.89,30.89,2.32,4.59
005843.OF,6.75,10.67,2.69,6.75,20.22,20.21,20.22,3.68,6.79
005886.OF,8.74,13.72,5.35,8.74,28.02,28.02,28.02,5.67,8.9
005906.OF,8.61,15.8,4.82,8.61,25.41,25.4,25.41,3.99,8.58
005943.OF,9.04,16.95,4.89,9.04,30.01,30,30.01,4.77,9.49
006004.OF,7.06,9.45,3.1,7.06,22.17,22.17,22.17,1.77,7.07
006059.OF,5.05,4.47,1.72,5.05,20.88,20.88,20.88,2.64,5.06
006061.OF,10.34,14.17,3.97,10.33,27.1,27.07,27.07,6.86,10.36
006114.OF,9.1,11.7,5.37,9.09,24.28,24.28,24.28,4.75,9.09
006140.OF,7.18,14.15,4.02,7.19,28.29,28.29,28.29,4.21,7.22
006174.OF,4.86,8.14,2.99,4.86,21.4,21.38,21.4,3.72,4.86
006188.OF,8.64,18.49,3.76,8.64,26.05,25.97,26.03,4.53,8.65
006207.OF,6.74,13.14,3.32,6.74,25.67,25.67,25.67,4.83,6.84
006353.OF,6.16,7.76,3.77,6.16,20.85,20.81,20.83,3.78,6.16
006398.OF,8.61,12.93,5.59,8.61,24.64,24.66,24.7,6.32,8.63
006459.OF,5.78,13.17,4.13,5.78,27.63,27.6,27.6,3.1,5.77
006466.OF,6.39,10.27,4.22,6.39,23.22,23.21,23.22,4.63,6.4
006500.OF,8.71,27.86,5.56,8.71,33.07,33.07,33.07,5.1,8.69
006535.OF,13.74,26.89,9.47,13.74,27.33,27.33,27.33,9.09,13.71
006638.OF,15.49,27.62,10.83,15.5,37.37,37.24,37.31,8.45,15.53
006654.OF,11.23,14.19,6.71,11.23,24.95,24.9,24.95,6.84,11.22
006738.OF,9.98,15.99,5.75,9.97,27.56,27.55,27.55,7.86,10.08
006832.OF,5.04,6.94,2.2,5.04,27,27,27,3.93,5.06
006839.OF,8.28,15.35,5.49,8.27,29.56,29.55,29.56,4.11,8.27
006854.OF,7.02,14.72,3.12,7.02,20.36,20.09,20.38,4.54,7.01
006896.OF,11.81,19.7,7.48,11.81,19.65,19.62,19.63,4.69,11.79
006952.OF,5,8.92,3.38,5,30.04,30.04,30.04,3.14,4.99
006973.OF,4.64,9.1,2.75,4.64,24.99,24.99,24.99,2.8,4.7
006974.OF,6.31,11.68,3.97,6.31,31.06,31,31.06,3.14,6.3
007128.OF,7.25,10.87,5.17,7.26,27.44,27.43,27.44,4.12,7.26
007266.OF,16.95,18.93,9.4,16.95,28.56,28.56,28.56,11.77,16.93
007282.OF,9.48,16.32,5.63,9.48,21.17,21.17,21.18,5.27,9.47
007318.OF,5.22,7.91,2.77,5.22,31.94,31.88,31.91,3.58,5.37
007385.OF,7.1,10.63,4.66,7.1,26.32,26.31,26.31,4.59,7.08
007415.OF,5.56,8.92,2.46,5.56,29.95,29.96,30,3.16,5.55
007712.OF,6.56,10.8,4.32,6.56,21.89,21.89,21.89,3.87,6.55
007725.OF,6.66,12.99,3.56,6.66,26.64,26.64,26.67,4.49,6.65
007752.OF,7.95,11.13,4.58,7.95,26.88,26.85,26.88,4.75,7.98
007767.OF,8.83,17.22,3.87,8.83,30.52,30.28,30.51,3.72,8.82
007781.OF,16.51,17.39,5.5,16.5,28.61,28.61,28.61,9.27,16.6
007879.OF,6.62,12.27,3.95,6.62,25.58,25.58,25.62,3.99,6.63
007884.OF,5.46,8.6,4.26,5.46,26.38,26.37,26.38,3.02,5.43
020002.OF,7.05,16.19,2.5,7.05,22.64,22.65,22.64,4.28,7.06
020033.OF,6.26,6.9,2.89,6.25,31.7,31.69,31.7,1.86,6.26
040009.OF,8.82,14.03,3.71,8.81,18.05,18.03,18.04,4.78,8.8
040012.OF,10.13,16.84,7.01,10.13,28.97,28.97,28.97,7.89,10.16
040019.OF,4.82,5.43,2.25,4.82,23.77,23.77,23.77,2.79,4.88
040036.OF,4.79,9.45,2.33,4.8,35.75,35.75,35.75,1.54,4.83
050006.OF,8.35,12.46,4.14,8.35,21.92,21.88,21.92,5.24,8.35
050016.OF,5.92,9.88,3.64,5.92,24.09,24.09,24.1,3.91,5.91
050023.OF,8.32,16.35,6.29,8.32,28.05,28.05,28.05,4.98,8.31
070015.OF,6.38,13.69,3.04,6.38,21.21,21.21,21.21,4.57,6.41
070020.OF,4.5,8.18,2.72,4.49,26.18,26.18,26.18,2.82,4.52
080003.OF,5.92,10.2,2.84,5.92,29.17,29.16,29.17,3.09,5.9
090002.OF,3.65,6.11,2.51,3.66,26.12,26.12,26.12,2.1,3.64
090006.OF,3.56,7.63,2.2,3.56,26.77,26.76,26.78,2.69,3.7
100018.OF,3.38,11.61,2.25,3.38,25.72,25.71,25.75,2.16,3.37
100035.OF,4.22,8.86,2.7,4.22,27.5,27.49,27.5,2.49,4.28
110007.OF,6.27,11.05,4.04,6.27,27.43,27.43,27.43,4.19,6.33
110017.OF,4.8,9.77,2.55,4.8,27.68,27.67,27.68,3.53,4.83
110027.OF,4.27,7.89,2.82,4.27,25.47,25.47,25.47,3.39,4.33
110035.OF,7.94,14.21,3.11,7.93,21.41,21.41,21.41,5.14,7.98
121009.OF,4.61,9.38,2.85,4.61,29.65,29.6,29.62,3.58,4.62
121012.OF,4.3,5.89,1.66,4.3,23,23.02,23.04,2.97,4.32
151002.OF,4.57,10.06,2.83,4.57,24.99,24.98,24.98,3.19,4.59
160220.OF,5.64,7.81,2.01,5.64,30.04,30.03,30.04,2.71,5.65
160323.OF,7.32,10.96,5.43,7.31,27.37,27.36,27.37,3.29,7.24
160513.OF,8.15,11.35,4.91,8.15,22.69,22.68,22.76,4.04,8.14
160524.OF,14.21,26.37,9.03,14.2,31.31,31.32,31.33,12.88,14.23
160612.OF,5.99,8.88,3.67,5.98,28.53,28.53,28.54,4.28,6.07
160622.OF,3.39,4.61,2.32,3.39,21.44,21.45,21.44,2.88,3.4
161010.OF,6.63,11.69,3.6,6.62,21.87,21.87,21.87,4.3,6.64
161015.OF,3.86,5.54,2.22,3.86,13.76,13.72,13.8,2,3.87
161019.OF,4.63,7.76,3.35,4.63,17.01,17.02,17.01,2.67,4.62
161115.OF,6.7,13.09,5.45,6.7,26.73,26.7,26.73,4.86,6.68
161216.OF,4.77,7.21,2.39,4.76,27.89,27.88,27.89,3.35,4.77
161505.OF,7.22,10.07,4.94,7.22,28.44,28.43,28.44,4.6,7.19
161603.OF,8.79,15.89,4.27,8.79,26.62,26.64,26.62,4.97,8.8
161618.OF,13.69,19.65,8.06,13.69,24.41,24.02,24.37,5.59,13.69
161626.OF,7.02,8.46,4.72,7.02,25.69,25.69,25.7,5.55,7.01
161722.OF,6.18,13.47,2.07,6.18,26.13,26.13,26.14,4.02,6.29
162205.OF,5.99,8.88,2.35,5.99,29.72,29.72,29.72,3.51,6.06
162210.OF,11.88,19.8,7.24,11.88,30.59,30.55,30.56,7.69,11.84
162215.OF,11.57,17.67,5.97,11.58,26.05,26.05,26.05,8.66,11.56
162414.OF,7.4,13.5,4.13,7.4,27.95,27.93,27.94,4.59,7.43
162712.OF,4.91,6.89,2.35,4.9,31.64,31.63,31.64,3.04,4.93
163003.OF,11.13,16.32,2.24,11.13,19.69,19.67,19.69,5.22,11.11
163806.OF,5.37,6.55,1.72,5.37,24.43,24.38,24.43,3.67,5.38
163811.OF,5.39,8.48,2.08,5.39,23.04,23.04,23.04,3.92,5.39
163819.OF,5.52,12.56,3.34,5.52,23.93,23.92,23.94,3.86,5.56
163825.OF,6.86,9.74,2.23,6.86,19.34,19.34,19.34,3.52,6.86
164105.OF,5.29,5.87,3.4,5.3,24.25,23.97,23.98,3.52,5.27
164208.OF,5.51,8.93,3.07,5.51,27.44,27.26,27.47,2.65,5.51
164606.OF,10.89,14.59,6.92,10.89,21.55,21.5,21.52,8.34,10.9
164808.OF,3.19,6.31,2.32,3.19,23.76,23.74,23.76,1.72,3.19
165311.OF,7.5,9.42,3.05,7.5,16.82,16.8,16.82,5.33,7.55
165526.OF,6.09,6.95,3.79,6.09,27.91,27.91,27.91,3.82,6.11
166010.OF,8.91,14.13,5.56,8.91,26.32,26.32,26.32,3.75,9
166105.OF,7.64,16.71,3.51,7.63,30.67,30.67,30.67,5.14,7.69
167003.OF,10.28,21.53,8.24,10.28,28.78,28.76,28.77,7.41,10.42
169106.OF,6.06,11.08,3.03,6.06,25.09,25.09,25.11,3.19,6.06
180015.OF,4.52,6.47,3.05,4.52,28.35,28.36,28.4,2.66,4.54
180025.OF,5.47,6.01,2.69,5.47,28.44,28.44,28.44,4.62,5.53
202101.OF,3.77,6.91,1.61,3.77,25.16,23.76,25.16,1.12,3.78
202102.OF,7.01,11.87,2.55,7.01,24.41,24.4,24.41,3.56,7
202105.OF,3.32,4.05,1.85,3.32,26.23,26.23,26.23,0.94,3.24
206003.OF,5.83,7.11,3.49,5.83,29.91,29.91,29.91,3.67,5.86
206008.OF,5.22,7.18,3.3,5.22,26.17,26.17,26.17,3.72,5.28
206018.OF,2.86,5.11,1.73,2.87,20.58,20.55,20.57,2,2.87
210006.OF,10.25,22.96,5.83,10.24,24.87,24.86,24.87,5.47,10.26
210007.OF,9.06,13.32,3.03,9.06,31.88,31.87,31.87,1.95,8.98
210010.OF,9.8,17.2,4.09,9.8,27.54,27.54,27.54,3.3,9.78
213007.OF,12.31,25.89,7.37,12.3,35.59,35.58,35.59,9.96,12.31
217008.OF,6.32,8.99,2.07,6.31,25.88,25.88,25.88,4.53,6.33
217023.OF,6.6,9.87,3.6,6.6,27.25,27.25,27.26,2.49,6.6
217024.OF,5.39,11.65,2.29,5.38,26.22,26.22,26.22,3.27,5.4
233005.OF,4.39,4.45,2.3,4.39,15.7,15.72,15.7,2.26,4.39
233012.OF,5.56,7.69,2.79,5.56,21.62,21.64,21.66,3.95,5.56
240003.OF,4.09,5.27,2.68,4.09,22.53,22.48,22.53,2.82,4.08
240012.OF,8.66,12.98,4.72,8.67,18.93,18.92,18.93,5.95,9.01
253010.OF,9.19,23.13,4.21,9.2,27.1,27.09,27.1,3.37,8.59
253060.OF,8.05,10.1,3.13,8.05,27.66,27.65,27.66,6.27,8.04
270029.OF,4.13,4.91,2.1,4.12,25.51,25.5,25.5,2.16,4.13
310508.OF,6.99,9.38,3.74,6.98,27.67,27.67,27.67,4.3,6.97
320021.OF,7.43,16.45,6.22,7.43,27.7,27.7,27.7,5.08,7.51
340009.OF,4.14,5.27,2.91,4.14,23.68,23.67,23.68,2.5,4.15
350006.OF,15.69,24.58,7.46,15.69,29.67,29.63,29.64,9.84,15.75
360008.OF,9.32,11.06,3.45,9.32,24.69,24.67,24.69,5.76,9.32
371020.OF,10.06,13.56,4.88,10.05,26,25.99,26,5.14,10.06
372010.OF,9.61,18.57,6,9.61,26.25,26.22,26.23,6.48,9.6
380009.OF,5.74,8.49,2.46,5.74,11.75,11.76,11.75,3.79,5.74
395001.OF,11,14.97,5.4,11,25.34,25.33,25.34,2.64,10.97
395011.OF,8.62,18.21,4.45,8.61,25.63,25.62,25.63,3.97,8.59
400016.OF,5.23,9.32,3.41,5.23,23.57,23.57,23.58,2.59,5.18
400027.OF,4.68,7.68,3.08,4.67,24.31,24.32,24.32,1.35,4.74
410004.OF,3.34,5.68,2.74,3.34,26.19,26.19,26.23,2.11,3.37
420002.OF,5.95,9.36,4.25,5.96,28.1,28.09,28.1,3.76,5.97
420008.OF,14.48,20.1,8.94,14.48,21.09,21.1,21.1,4.24,14.48
420009.OF,4.97,6.8,3.43,4.97,22.44,22.43,22.44,3.02,5
450005.OF,3.98,9.62,2.37,3.98,24.84,24.85,24.86,2.53,4.02
450018.OF,7.55,12.24,4.32,7.55,19.37,19.36,19.38,3.39,7.55
470010.OF,7.93,13.14,4.45,7.93,32.25,32.25,32.25,3.91,7.87
470018.OF,4.68,7.43,2.44,4.67,28.82,28.83,28.84,2.93,4.7
470088.OF,3.92,7.31,2.42,3.93,34.27,34.27,34.27,2.27,3.96
485105.OF,2.89,8.3,1.71,2.89,29.96,29.96,29.96,2.34,2.96
485107.OF,6.34,10.85,4.4,6.34,26.62,26.61,26.62,3.05,6.37
485111.OF,6.12,14.18,4.41,6.12,29.26,29.25,29.28,4.37,6.14
501000.OF,9.15,17.63,5.26,9.16,27.02,27.02,27.02,5.09,9.22
501017.OF,5.29,7.67,2.4,5.29,30.69,30.69,30.68,2.35,5.13
501027.OF,6.09,8.82,4.6,6.09,33.52,33.45,33.52,4.63,6.07
501039.OF,12.77,15.82,7.47,12.77,29.41,29.42,29.42,6.9,12.89
501041.OF,15.71,25.91,10.42,15.71,32.59,32.49,32.55,6.57,15.7
501053.OF,8.27,13.28,4.58,8.27,21.44,21.37,21.42,3.98,8.26
519007.OF,7.17,8.04,4.45,7.16,30.85,30.81,30.81,5.17,7.22
519023.OF,13.49,23.84,5.67,13.49,22.96,23.05,23.02,10.4,13.49
519030.OF,5.2,9.62,2.56,5.2,23.94,23.97,23.98,2.93,5.18
519050.OF,5.28,9.07,3.45,5.28,26.6,26.58,26.59,1.94,5.33
519061.OF,11.49,27.13,8.78,11.49,29.35,29.34,29.35,5.88,11.43
519127.OF,6.54,9.45,3.24,6.54,32.84,32.83,32.84,5.07,6.57
519134.OF,7.83,7.89,4.27,7.83,25.95,25.96,25.97,3.86,7.93
519160.OF,6.2,7.53,3.81,6.2,22.14,22.16,22.16,4.37,6.2
519162.OF,13.84,18.71,8.3,13.84,25.56,25.54,25.56,6.84,13.91
519175.OF,6.36,8.19,3.72,6.36,27.25,27.25,27.25,4.76,6.28
519186.OF,6.94,12.45,3.86,6.96,40.09,40.08,40.08,4.48,7
519197.OF,8.52,14.2,2.99,8.51,29.14,29.14,29.15,3.44,8.52
519222.OF,5.37,11.14,2.69,5.36,28.93,28.93,28.93,2.36,5.39
519229.OF,4.63,6.5,2.05,4.62,30.73,30.72,30.72,1.55,4.78
519616.OF,6.24,12.13,4.29,6.24,27.14,27.13,27.14,3.27,6.28
519625.OF,7.27,12.58,5.27,7.27,24.67,24.67,24.68,2.94,7.27
519627.OF,7,12.87,3.32,7,28.08,28.06,28.07,4.78,7.05
519652.OF,10.21,17.7,4.46,10.21,25.27,25.28,25.3,7.14,10.2
519660.OF,10.4,24.85,8.19,10.4,30.86,30.86,30.87,7.3,10.41
519666.OF,11.35,22.61,9.27,11.35,33.11,33.12,33.17,4.68,11.35
519676.OF,6.58,13.55,3.75,6.58,32.36,32.36,32.36,3.03,6.58
519680.OF,3.05,3.44,1.92,3.04,22.53,22.53,22.53,1.51,3.07
519683.OF,9.97,23.05,5.71,9.96,35.3,35.29,35.3,6.83,9.98
519726.OF,10.17,11.27,5.47,10.16,35.41,35.41,35.41,5.87,10.17
519730.OF,7.92,9.96,4.72,7.92,31.56,31.56,31.57,5.48,8.01
519733.OF,12.76,13.1,5.5,12.75,32.53,31.54,31.54,7.16,13.01
519738.OF,3.86,5.47,2.56,3.87,28.91,28.94,28.96,3.07,3.87
519752.OF,4.16,5.59,2.06,4.16,30.14,30.14,30.14,2.63,4.24
519753.OF,6.98,10.03,4.87,6.98,35.48,35.45,35.46,2.89,6.97
519755.OF,4.4,6.05,2.12,4.41,29.34,29.34,29.37,3.74,4.45
519766.OF,5.87,6.43,3.67,5.87,30.69,30.67,30.69,4.85,5.88
519768.OF,3.79,5.44,2.55,3.71,33.75,33.74,33.75,2.24,3.79
519770.OF,3.54,6.04,2.25,3.54,32.34,32.34,32.34,2.31,3.57
519933.OF,7.34,10.63,4.88,7.34,25.23,25.22,25.23,5.02,7.49
519963.OF,8.27,12.58,4.51,8.25,25.87,25.87,25.87,5.79,8.31
519989.OF,5.62,7.46,3.77,5.61,25.2,25.19,25.2,3.1,5.62
530008.OF,4.64,7.24,1.93,4.64,23.19,23.17,23.19,2.31,4.64
530009.OF,8.51,16.69,5.52,8.59,27.45,27.44,27.44,4.76,8.56
540001.OF,4.2,8.31,3.09,4.2,28.6,28.57,28.6,2.24,4.21
550004.OF,3.71,4.43,1.75,3.71,27.4,27.4,27.4,1.49,3.72
573003.OF,7.41,11.24,4.15,7.41,26.79,26.74,26.76,2.85,7.5
610008.OF,12.96,21.16,8.57,12.96,28.78,28.77,28.78,3.37,12.96
620003.OF,3.54,9.21,2.03,3.54,31.23,31.22,31.23,2.63,3.57
630003.OF,6.69,8.19,2.14,6.69,23.27,23.27,23.27,2.83,6.7
630007.OF,9.45,12.8,5.35,9.44,21.81,21.81,21.81,5.65,9.41
630009.OF,6.35,8.66,3.36,6.36,24.23,24.26,24.29,4.86,6.44
660009.OF,4.87,8.64,2.88,4.87,26.83,26.83,26.91,2.13,4.69
675081.OF,5.08,10.36,3.31,5.09,34.55,34.55,34.56,3.02,5.08
690002.OF,5.86,7.01,3.05,5.86,26.33,26.33,26.34,3.74,5.83
720003.OF,10.93,15.79,6.81,10.92,27.37,27.37,27.37,8.24,11.25
750002.OF,9.65,25.32,6.12,9.65,34.7,34.64,34.7,8.32,9.66
952024.OF,5.39,11.11,4.12,5.39,22.67,22.67,22.68,3.55,5.45
mean,7.31 ,12.18 ,4.18 ,7.31 ,27.37 ,27.36 ,27.37 ,4.26 ,7.33 
max,21.49,30.88,11.75,21.49,41.66,41.58,41.63,15.08,21.47
min,1.46,1.83,0.91,1.47,11.75,11.76,11.75,0.53,1.5
median,6.615,11.275,3.805,6.62,27.26,27.255,27.26,3.835,6.665
std,3.04 ,5.26 ,1.96 ,3.04 ,4.05 ,4.05 ,4.04 ,2.09 ,3.04 
