,R2,R3,R5,R6,R7,R8,,,,,,,,,
000045.OF,10.46,2.47,28.03,28.02,28.03,1.14,,,,,,,,,
000047.OF,9.1,4.1,20.03,20.02,20.03,5.35,,,,,,,,,
000054.OF,10.76,3.18,24.89,24.89,24.9,5.39,,,,,,,,,
000065.OF,9.96,3.69,22.66,22.66,22.66,3.14,,,,,,,,,
000072.OF,14.42,3.33,27.19,27.19,27.19,3.5,,,,,,,,,
000107.OF,6.58,2.74,25.08,25.08,25.08,2.09,,,,,,,,,
000110.OF,24.63,3.67,28.49,28.49,28.49,4.86,,,,,,,,,
000118.OF,12.09,2.12,22.81,22.81,22.81,1.98,,,,,,,,,
000121.OF,10.96,4.34,27.1,27.1,27.1,3.33,,,,,,,,,
000130.OF,12.11,3.92,24.75,24.75,24.75,6.25,,,,,,,,,
000142.OF,14.22,6,24.39,24.39,24.39,5.74,,,,,,,,,
000143.OF,6.77,3.91,27.61,27.61,27.63,3.27,,,,,,,,,
000149.OF,4.52,1.87,26.4,26.43,26.43,1.93,,,,,,,,,
000171.OF,8.58,2.96,30.22,30.22,30.22,2.66,,,,,,,,,
000181.OF,15.49,9.8,22.09,22.08,22.09,7.68,,,,,,,,,
000189.OF,10.33,4.18,28.23,28.23,28.23,2.58,,,,,,,,,
000190.OF,4.95,2.17,31.23,31.23,31.24,2.56,,,,,,,,,
000195.OF,9.35,2.96,27.68,27.68,27.68,4.07,,,,,,,,,
000207.OF,15.86,7.46,26.75,26.84,26.75,10.76,,,,,,,,,
000215.OF,3.98,1.13,35.52,35.51,35.52,0.53,,,,,,,,,
000227.OF,9.5,5.49,23.52,23.31,23.65,4.34,,,,,,,,,
000236.OF,6.36,1.96,28.44,28.44,28.44,2.77,,,,,,,,,
000239.OF,15.3,6.38,27.13,27.11,27.19,9.11,,,,,,,,,
000244.OF,10.38,3.22,25.02,25.02,25.02,8.54,,,,,,,,,
000254.OF,24.34,6.5,19,19.02,19,15.08,,,,,,,,,
000310.OF,25.81,3.66,30.83,30.82,30.83,6.97,,,,,,,,,
000314.OF,6.36,2.98,28.11,28.11,28.11,1.88,,,,,,,,,
000338.OF,5.14,2.47,30.84,30.84,30.85,2.92,,,,,,,,,
000367.OF,17.25,2.92,31.88,31.83,31.85,3.13,,,,,,,,,
000377.OF,6.7,3.77,28.3,28.3,28.3,4.5,,,,,,,,,
000385.OF,7.25,3.66,31.96,31.96,31.96,2.48,,,,,,,,,
000406.OF,10.04,5.19,30.04,30.05,30.12,4.32,,,,,,,,,
000436.OF,5.6,1.79,28.29,28.28,28.29,1.56,,,,,,,,,
000463.OF,8.5,1.75,34.57,34.56,34.57,2.56,,,,,,,,,
000507.OF,14.82,4.55,26.56,26.59,26.75,3.68,,,,,,,,,
000511.OF,10.18,2.38,29.19,29.2,29.21,2.5,,,,,,,,,
000526.OF,7.98,1.81,25.62,25.62,25.62,1.87,,,,,,,,,
000546.OF,9.55,3.58,21.36,21.36,21.36,3.92,,,,,,,,,
000572.OF,9.85,2.34,28.61,28.61,28.62,3.33,,,,,,,,,
000583.OF,18.8,5.83,32.43,32.41,32.43,6.46,,,,,,,,,
000590.OF,16.78,6.18,24.43,24.41,24.42,3.97,,,,,,,,,
000597.OF,12.58,3.63,24.8,24.8,24.8,2.99,,,,,,,,,
000639.OF,27.27,8.18,35.9,35.76,35.83,5.52,,,,,,,,,
000664.OF,18.09,5.6,27.45,27.45,27.46,6.05,,,,,,,,,
000744.OF,14.17,5.81,22.48,22.48,22.5,3.53,,,,,,,,,
000804.OF,11.78,8.77,25.14,25.13,25.12,6.07,,,,,,,,,
000875.OF,10.29,3.84,21.08,21.08,21.08,3.84,,,,,,,,,
000894.OF,11.18,1.64,26.5,26.47,26.48,2.29,,,,,,,,,
000896.OF,14.24,6.72,25.56,25.56,25.56,7.02,,,,,,,,,
000932.OF,13.86,4.51,25.87,25.74,25.86,6.42,,,,,,,,,
000953.OF,11.94,3.19,30.86,30.86,30.92,3.4,,,,,,,,,
000973.OF,7.01,3.07,22.93,22.93,22.93,4,,,,,,,,,
001001.OF,11.76,5.51,23.69,23.67,23.68,4.11,,,,,,,,,
001011.OF,6.86,3.12,24.11,24.1,24.1,2.67,,,,,,,,,
001019.OF,9.75,2.23,21.22,21.21,21.22,3.89,,,,,,,,,
001035.OF,3.4,1.69,30.54,30.55,30.55,2.36,,,,,,,,,
001067.OF,4.06,1.35,34.22,34.22,34.22,1.58,,,,,,,,,
001110.OF,10.47,4.23,31.51,31.52,31.52,4.8,,,,,,,,,
001115.OF,10.6,4.34,31.04,31.03,31.04,3.29,,,,,,,,,
001122.OF,7.11,2.08,26.41,26.41,26.41,1.53,,,,,,,,,
001136.OF,6.04,2.18,28.78,28.77,28.78,3.1,,,,,,,,,
001139.OF,18.27,8.24,23.42,23.41,23.45,5.44,,,,,,,,,
001146.OF,14.43,4.49,25.84,25.84,25.85,5.74,,,,,,,,,
001157.OF,10.14,3.28,26.68,26.68,26.68,3.5,,,,,,,,,
001164.OF,8.62,2.63,28.22,28.24,28.25,1.96,,,,,,,,,
001172.OF,11.12,4.4,30.6,30.59,30.6,3.68,,,,,,,,,
001182.OF,8.31,2.11,32.26,32.26,32.26,1.87,,,,,,,,,
001183.OF,6.44,1.44,27.28,27.27,27.28,1.08,,,,,,,,,
001189.OF,4.36,1.62,28.94,28.93,28.94,1.43,,,,,,,,,
001190.OF,14.02,6.38,31.78,31.77,31.78,6.19,,,,,,,,,
001194.OF,5.23,2.9,32.57,32.58,32.58,2.2,,,,,,,,,
001196.OF,18.09,4.77,31.1,31.09,31.09,6.24,,,,,,,,,
001199.OF,20.37,4.32,24.27,24.27,24.27,3.18,,,,,,,,,
001201.OF,8.85,2.85,31.35,31.34,31.35,3.64,,,,,,,,,
001202.OF,7.18,3.17,28.08,28.08,28.08,2.58,,,,,,,,,
001203.OF,8.7,1.9,25.05,25.05,25.05,2.32,,,,,,,,,
001228.OF,21.12,8.82,25.02,25.02,25.02,8.43,,,,,,,,,
001235.OF,8.1,2.68,20.17,20.14,20.2,3.48,,,,,,,,,
001249.OF,3.66,1.11,32.07,32.06,32.07,1.67,,,,,,,,,
001257.OF,9.06,2.85,23.31,23.3,23.31,4.18,,,,,,,,,
001265.OF,17.66,2.95,34.19,34.18,34.2,5.16,,,,,,,,,
001282.OF,18.3,2.99,27.57,27.57,27.57,4.85,,,,,,,,,
001285.OF,2.83,1.21,28,27.99,28,1.53,,,,,,,,,
001289.OF,8.28,2.47,24.13,24.16,24.18,3.01,,,,,,,,,
001309.OF,9.56,3.21,30.28,30.28,30.29,3.77,,,,,,,,,
001311.OF,19.62,9,31.49,31.39,31.46,6.41,,,,,,,,,
001312.OF,7.57,2.86,24.39,24.39,24.39,2.28,,,,,,,,,
001314.OF,6.54,3.86,34.51,34.51,34.51,2.84,,,,,,,,,
001316.OF,13,3.18,30.19,30.19,30.2,3.79,,,,,,,,,
001324.OF,11.49,4.31,25.85,25.84,25.85,3.84,,,,,,,,,
001329.OF,8.37,2.8,28.17,28.17,28.17,3.12,,,,,,,,,
001331.OF,11.12,5.43,26.79,26.79,26.79,4.59,,,,,,,,,
001334.OF,5.51,1.56,25.16,25.14,25.16,1.44,,,,,,,,,
001335.OF,12.89,4.24,25.19,25.18,25.17,2.57,,,,,,,,,
001336.OF,11.56,3.37,26.15,26.15,26.15,2.84,,,,,,,,,
001342.OF,4.63,1.42,31.05,31.05,31.05,1.83,,,,,,,,,
001355.OF,14.19,5.78,25.83,25.84,25.87,7.92,,,,,,,,,
001358.OF,17.73,8.47,27.04,27,27.04,5.56,,,,,,,,,
001362.OF,6.1,2.84,32.67,32.67,32.67,1.26,,,,,,,,,
001367.OF,14.84,5.73,24.46,24.39,24.42,3.16,,,,,,,,,
001370.OF,9.02,1.74,30.1,30.1,30.1,4.1,,,,,,,,,
001399.OF,15.12,6.99,27.44,27.44,27.45,5.55,,,,,,,,,
001402.OF,5.68,1.32,30.87,30.88,30.87,1.42,,,,,,,,,
001405.OF,10.63,3.19,26.45,26.45,26.45,3.27,,,,,,,,,
001415.OF,17.25,3.6,27.66,27.66,27.66,5.18,,,,,,,,,
001418.OF,15.96,7.81,38.58,38.57,38.57,7.05,,,,,,,,,
001422.OF,4.24,3.06,33.26,33.24,33.24,2.64,,,,,,,,,
001427.OF,5.38,2.4,28.63,28.63,28.63,2.16,,,,,,,,,
001433.OF,3.89,0.9,27.19,27.18,27.18,1.56,,,,,,,,,
001441.OF,16.71,3.2,33.95,33.94,33.95,7.03,,,,,,,,,
001443.OF,6.44,3.59,36.32,36.31,36.32,3.08,,,,,,,,,
001447.OF,13.46,2.7,22.5,22.5,22.5,3.03,,,,,,,,,
001453.OF,10.43,2.25,25.92,25.91,25.92,1.93,,,,,,,,,
001464.OF,9.95,4.41,29.57,29.57,29.57,2.54,,,,,,,,,
001470.OF,12.68,6.58,27.61,27.61,27.61,4.02,,,,,,,,,
001485.OF,15.05,10.48,27.69,27.55,27.69,7.33,,,,,,,,,
001488.OF,14.88,6.01,30.26,30.26,30.26,6.93,,,,,,,,,
001499.OF,10.08,3.03,31.54,31.41,31.54,2.46,,,,,,,,,
001506.OF,31.11,4.43,32.61,32.61,32.61,4.11,,,,,,,,,
001522.OF,7.6,2.04,27.04,27.02,27.02,2.42,,,,,,,,,
001524.OF,17.87,3.64,27.37,27.38,27.38,2.33,,,,,,,,,
001530.OF,13.31,5,26.12,26.11,26.12,4.28,,,,,,,,,
001562.OF,16.45,2.7,32.1,32.1,32.11,5.98,,,,,,,,,
001566.OF,14.35,5.28,24.86,24.86,24.87,2.77,,,,,,,,,
001570.OF,9.86,3.1,22.72,22.71,22.71,2.99,,,,,,,,,
001596.OF,5.11,2.89,24.09,24.09,24.09,2.69,,,,,,,,,
001633.OF,9.43,3.4,23.78,23.77,23.77,2.49,,,,,,,,,
001635.OF,9.48,3.82,33.43,33.42,33.43,3.64,,,,,,,,,
001664.OF,21.49,9.65,34.83,34.83,34.83,7.63,,,,,,,,,
001688.OF,8.75,3.41,25.56,25.55,25.55,2.12,,,,,,,,,
001710.OF,14.51,3.79,31.44,31.44,31.44,3.63,,,,,,,,,
001720.OF,5.24,1.91,25.53,25.56,25.58,2.57,,,,,,,,,
001721.OF,15.42,3.16,32.33,32.32,32.33,3.6,,,,,,,,,
001745.OF,9.3,3.1,32.22,32.22,32.22,3.42,,,,,,,,,
001747.OF,5.96,3.92,35.39,35.39,35.39,3.44,,,,,,,,,
001755.OF,9.05,2.96,27.32,27.32,27.32,3.5,,,,,,,,,
001756.OF,11.43,3.32,25.79,25.79,25.79,3.28,,,,,,,,,
001765.OF,10.27,4.09,30.66,30.65,30.66,3.5,,,,,,,,,
001800.OF,19.89,5.57,23.03,22.92,22.95,6.25,,,,,,,,,
001802.OF,6.37,2.51,22.89,22.89,22.89,3.67,,,,,,,,,
001806.OF,2.36,1.11,30.06,30.05,30.06,1.43,,,,,,,,,
001817.OF,3.78,1.45,31.7,31.7,31.7,1.61,,,,,,,,,
001835.OF,1.83,0.91,26.64,26.64,26.64,1.01,,,,,,,,,
001850.OF,14.69,3.11,32.78,32.77,32.8,2.33,,,,,,,,,
001862.OF,7.81,2.25,22.9,22.9,22.9,4.3,,,,,,,,,
001901.OF,11.42,5.83,26.96,26.96,26.96,8.77,,,,,,,,,
001903.OF,18.84,4.44,26.75,26.75,26.75,5.67,,,,,,,,,
001905.OF,20.12,6.11,27.51,27.47,27.47,9.16,,,,,,,,,
001922.OF,18.42,4.47,34.69,34.68,34.68,4.6,,,,,,,,,
001939.OF,6.69,4.36,31.92,31.93,31.92,4.56,,,,,,,,,
001945.OF,11.25,4.44,23.58,23.57,23.58,4.67,,,,,,,,,
002000.OF,12.09,3.59,27.12,27.12,27.12,2.98,,,,,,,,,
002005.OF,11.17,4.09,29.56,29.56,29.56,4.46,,,,,,,,,
002006.OF,6.66,1.54,24.03,24.03,24.03,2.2,,,,,,,,,
002009.OF,9.04,2.84,27.61,27.62,27.63,2.2,,,,,,,,,
002015.OF,9.99,4.39,24.71,24.7,24.71,4.84,,,,,,,,,
002018.OF,10.95,4.46,32.39,32.38,32.39,1.85,,,,,,,,,
002025.OF,7.57,3.05,30.78,30.78,30.78,2.12,,,,,,,,,
002027.OF,6.39,3.13,31.16,31.15,31.15,2.08,,,,,,,,,
002049.OF,10.15,2.14,21.36,21.36,21.37,4.9,,,,,,,,,
002054.OF,6.67,2.28,31.96,31.94,31.95,1.65,,,,,,,,,
002057.OF,6.86,3.05,32,32,32.01,1.93,,,,,,,,,
002065.OF,19.07,9.17,24.39,24.4,24.41,9.51,,,,,,,,,
002087.OF,8.8,2.99,27.17,27.15,27.16,3.67,,,,,,,,,
002111.OF,19.18,6.57,26.8,26.8,26.8,5.39,,,,,,,,,
002116.OF,12.55,4.65,27.03,26.98,27.01,4.11,,,,,,,,,
002120.OF,12.16,4.07,24.18,24.14,24.16,2.8,,,,,,,,,
002134.OF,11.71,4.02,28.94,28.93,28.94,2.04,,,,,,,,,
002156.OF,7.62,4.65,30.54,30.54,30.54,4.38,,,,,,,,,
002161.OF,14.65,8.23,28.84,28.84,28.84,6.75,,,,,,,,,
002222.OF,8.23,3.74,26.53,26.53,26.53,2.95,,,,,,,,,
002227.OF,7.96,3.22,24.04,24,24.02,2.09,,,,,,,,,
002254.OF,12.38,3.63,15.96,15.97,15.98,4.82,,,,,,,,,
002261.OF,11.78,5.92,25.5,25.49,25.5,5.52,,,,,,,,,
002276.OF,20.46,6.77,19.96,19.95,19.99,11.66,,,,,,,,,
002282.OF,8.13,2.97,28.48,28.47,28.47,4.03,,,,,,,,,
002331.OF,11.66,4.01,29.8,29.8,29.8,2.6,,,,,,,,,
002351.OF,10.73,2.32,29.13,29.13,29.13,2.25,,,,,,,,,
002358.OF,16.67,5.76,33.18,33.17,33.18,5.85,,,,,,,,,
002361.OF,10.19,1.99,26.27,26.26,26.27,2.06,,,,,,,,,
002363.OF,7.93,2.48,29.16,29.16,29.16,2.32,,,,,,,,,
002388.OF,25.89,8.42,34.07,34.04,34.07,8.73,,,,,,,,,
002389.OF,14.07,3.18,30.33,30.33,30.33,4.64,,,,,,,,,
002405.OF,7.48,1.22,23.89,23.89,23.89,4.68,,,,,,,,,
002411.OF,5.66,2.66,36.35,36.35,36.37,2.3,,,,,,,,,
002413.OF,7.25,3.15,29.48,29.49,29.49,1.95,,,,,,,,,
002430.OF,10.05,2.44,28.09,28.1,28.11,3.57,,,,,,,,,
002434.OF,12.69,5.49,26.51,26.51,26.51,6.18,,,,,,,,,
002455.OF,9.27,5.26,35.89,35.89,35.9,4.04,,,,,,,,,
002456.OF,15.43,3.42,35.51,35.51,35.51,4.6,,,,,,,,,
002458.OF,10.54,2.89,30.61,30.59,30.61,3.19,,,,,,,,,
002459.OF,13.86,4.26,22.51,22.5,22.51,4.66,,,,,,,,,
002461.OF,7.55,2.81,31.07,31.06,31.08,2.09,,,,,,,,,
002474.OF,16.4,1.97,29.97,29.97,29.97,4.77,,,,,,,,,
002475.OF,10.36,3.87,34.81,34.83,34.87,3.83,,,,,,,,,
002489.OF,13.62,4.32,29.81,29.83,29.85,4.71,,,,,,,,,
002490.OF,13.97,3.07,26.34,26.31,26.34,3.9,,,,,,,,,
002498.OF,8.68,3.94,27.26,27.26,27.29,3.74,,,,,,,,,
002501.OF,11.68,2.89,30.92,30.91,30.92,3.35,,,,,,,,,
002502.OF,9.03,2.75,28.38,28.38,28.38,1.7,,,,,,,,,
002514.OF,10.13,1.86,30.71,30.71,30.71,1.4,,,,,,,,,
002518.OF,20.65,11.46,32.78,32.78,32.78,6.43,,,,,,,,,
002521.OF,7.67,1.85,25.35,25.35,25.35,1.8,,,,,,,,,
002535.OF,15.04,4.25,31.19,31.19,31.19,4.98,,,,,,,,,
002574.OF,10.72,3.22,24.91,24.89,24.89,4.23,,,,,,,,,
002586.OF,23.33,9.62,33.18,33.18,33.18,7.74,,,,,,,,,
002600.OF,6.88,4.04,19.19,19.2,19.21,2.33,,,,,,,,,
002602.OF,21.38,5.45,30.43,30.42,30.43,4.43,,,,,,,,,
002612.OF,12.75,5.3,24.81,24.81,24.81,5.85,,,,,,,,,
002614.OF,19.43,5.49,29.42,29.41,29.42,7.63,,,,,,,,,
002616.OF,11.81,4.35,27.52,27.5,27.51,3.8,,,,,,,,,
002618.OF,8.27,4.24,32.68,32.68,32.69,2.52,,,,,,,,,
002622.OF,27.22,5.77,31.22,31.21,31.22,8.14,,,,,,,,,
002636.OF,18.79,5.71,29.62,29.58,29.6,7.11,,,,,,,,,
002639.OF,10.53,5,25.77,25.78,25.78,4.38,,,,,,,,,
002644.OF,14.91,5.9,31.07,31.01,31.07,6.83,,,,,,,,,
002651.OF,9.34,2.24,24.85,24.83,24.84,2.73,,,,,,,,,
002657.OF,7.61,3.82,26,26,26,3.77,,,,,,,,,
002664.OF,11,2.24,24.77,24.74,24.74,3.47,,,,,,,,,
002690.OF,15.53,4.58,27.93,27.93,27.93,7,,,,,,,,,
002701.OF,9.17,2.49,25.42,25.46,25.58,2.8,,,,,,,,,
002711.OF,17.78,2.59,26.97,26.97,26.97,4.71,,,,,,,,,
002714.OF,11.94,5.22,23.61,23.36,23.61,4.99,,,,,,,,,
002720.OF,11.1,3.45,30.68,30.68,30.75,3.79,,,,,,,,,
002723.OF,8.13,3.48,22.15,22.14,22.14,4.09,,,,,,,,,
002728.OF,5.43,2.4,29.97,29.97,29.97,2.47,,,,,,,,,
002734.OF,12.35,2.46,16.78,16.77,16.78,1.96,,,,,,,,,
002738.OF,5.14,1.35,32.28,32.28,32.28,1.53,,,,,,,,,
002749.OF,17.86,5.07,25.11,25.1,25.11,7.89,,,,,,,,,
002767.OF,5.26,1.84,25.97,26.35,25.97,2.2,,,,,,,,,
002776.OF,18.04,7.54,30.12,30.12,30.12,4.27,,,,,,,,,
002783.OF,6.8,2.99,23.96,23.95,23.95,3.14,,,,,,,,,
002792.OF,4.96,3.05,33.31,33.31,33.31,2.76,,,,,,,,,
002796.OF,7.22,3.19,24.51,24.51,24.51,4.17,,,,,,,,,
002813.OF,14.77,4.44,22.99,22.99,22.99,3.79,,,,,,,,,
002819.OF,6.29,2.55,26.91,26.9,26.9,1.88,,,,,,,,,
002826.OF,15.28,4.82,22.45,22.44,22.45,6.78,,,,,,,,,
002838.OF,16.6,8.94,17.96,17.96,17.96,11.13,,,,,,,,,
002901.OF,5.59,3.71,26.54,26.59,26.61,3.47,,,,,,,,,
002908.OF,8.93,4.45,25.84,25.83,25.84,3.95,,,,,,,,,
002925.OF,11.75,2.41,30.54,30.53,30.54,4.13,,,,,,,,,
002932.OF,5.67,2.54,27.94,27.93,27.94,1.78,,,,,,,,,
002934.OF,6.65,2.89,30.13,30.13,30.13,1.54,,,,,,,,,
002946.OF,12.89,5.68,28.65,28.64,28.65,4.01,,,,,,,,,
002961.OF,7.29,2.23,22.56,22.56,22.56,2.11,,,,,,,,,
002969.OF,10.53,3.84,30.91,30.87,30.87,2.44,,,,,,,,,
002971.OF,22.59,4.69,30.3,30.29,30.29,6.2,,,,,,,,,
002985.OF,16.66,8.84,19.01,19,19.01,10.66,,,,,,,,,
002986.OF,7.03,3.44,26.42,26.41,26.42,3.04,,,,,,,,,
003026.OF,22.99,6.05,29.99,29.98,29.97,7.73,,,,,,,,,
003028.OF,15.16,5.49,28.5,28.51,28.51,4.43,,,,,,,,,
003030.OF,6.4,2.87,32.63,32.62,32.63,1.73,,,,,,,,,
003037.OF,7.88,6,25.41,25.3,25.41,3.13,,,,,,,,,
003044.OF,7.35,1.71,25.42,25.42,25.42,1.89,,,,,,,,,
003062.OF,15.58,4.27,28.12,28.12,28.12,5.6,,,,,,,,,
003105.OF,13.86,5.25,31.4,31.4,31.4,3.66,,,,,,,,,
003107.OF,9.97,4.21,24.4,24.4,24.4,2.9,,,,,,,,,
003109.OF,8.69,2.58,24.67,24.7,24.7,2.47,,,,,,,,,
003115.OF,9.9,4.26,26.55,26.55,26.56,4.54,,,,,,,,,
003117.OF,9.27,2.59,30.08,30.05,30.08,4.17,,,,,,,,,
003123.OF,24.79,9.51,39.78,39.66,39.7,9.59,,,,,,,,,
003133.OF,10.9,5.27,31.93,31.93,31.93,3.71,,,,,,,,,
003135.OF,8.64,2.82,31.7,31.7,31.7,3.08,,,,,,,,,
003142.OF,7.34,3.03,28.07,28.07,28.07,2.48,,,,,,,,,
003154.OF,15.7,5.41,25.69,25.67,25.67,3.98,,,,,,,,,
003161.OF,7.82,1.45,24.99,24.99,24.99,2.64,,,,,,,,,
003167.OF,8.74,4.62,26.92,26.91,26.92,3.1,,,,,,,,,
003176.OF,9.33,2.1,32.22,32.22,32.22,5.63,,,,,,,,,
003182.OF,9.46,5.07,33.01,33.01,33.01,4.75,,,,,,,,,
003186.OF,13.93,3.82,27.29,27.27,27.28,4.18,,,,,,,,,
003187.OF,12.96,4.11,21.44,21.44,21.45,5.09,,,,,,,,,
003218.OF,15.61,3.41,23.28,23.29,23.29,3.05,,,,,,,,,
003221.OF,20.1,9.33,26.2,26.2,26.2,9.24,,,,,,,,,
003234.OF,15.05,4.07,22.67,22.67,22.67,3.52,,,,,,,,,
003275.OF,10.09,1.57,33.98,33.97,33.98,1.54,,,,,,,,,
003282.OF,4.76,1.27,30.93,30.94,30.95,1.19,,,,,,,,,
003295.OF,6.55,2.36,26.15,26.15,26.16,1.77,,,,,,,,,
003301.OF,15.59,4.24,27.83,27.82,27.84,4.19,,,,,,,,,
003331.OF,9.67,6.37,21.24,21.21,21.24,5.46,,,,,,,,,
003336.OF,12.31,3.68,24.19,24.19,24.19,3.75,,,,,,,,,
003341.OF,20.05,8.41,27.97,27.97,27.97,8.26,,,,,,,,,
003343.OF,11.37,3.81,25.66,25.65,25.66,2.7,,,,,,,,,
003345.OF,16.07,6.04,28.05,28.04,28.06,4.68,,,,,,,,,
003360.OF,8.25,3.57,26.99,26.98,27.02,3.07,,,,,,,,,
003379.OF,6.31,2.88,30.53,30.53,30.55,2.32,,,,,,,,,
003432.OF,8.15,2.16,30.07,30.06,30.07,2.22,,,,,,,,,
003476.OF,10.54,3.8,25.25,25.25,25.25,2.55,,,,,,,,,
003484.OF,10.33,4.47,25.53,25.53,25.53,3.43,,,,,,,,,
003493.OF,4.83,2.12,31.66,31.66,31.66,1.77,,,,,,,,,
003495.OF,10.69,5.41,29.35,29.34,29.38,3.76,,,,,,,,,
003502.OF,12.7,4.42,27.69,27.69,27.71,7.53,,,,,,,,,
003504.OF,11.5,6.53,23.5,23.5,23.5,6.22,,,,,,,,,
003591.OF,7.9,3.12,30.18,30.18,30.18,2.85,,,,,,,,,
003603.OF,12.7,4.56,31.08,31.07,31.08,2.46,,,,,,,,,
003612.OF,11.44,6.15,26.05,26.03,26.05,4.77,,,,,,,,,
003626.OF,26.18,7.83,33.32,33.32,33.32,6.84,,,,,,,,,
003628.OF,10.72,4.89,29.93,29.91,29.92,4.04,,,,,,,,,
003637.OF,15.75,7.08,18.75,18.74,18.75,2.86,,,,,,,,,
003663.OF,14.15,4.12,25.4,25.4,25.4,3.93,,,,,,,,,
003680.OF,22.32,2.31,32.65,32.64,32.65,3.23,,,,,,,,,
003692.OF,7.15,2.66,30.46,30.37,30.38,3.61,,,,,,,,,
003704.OF,18.34,6.66,26.76,26.76,26.76,6.81,,,,,,,,,
003734.OF,17.08,6.93,29.14,29.11,29.1,7.15,,,,,,,,,
003754.OF,14.91,2.89,32.37,32.37,32.39,2.61,,,,,,,,,
003780.OF,14.93,8.67,25.44,25.44,25.44,8.28,,,,,,,,,
003799.OF,9.43,4.73,27.15,27.15,27.15,4.85,,,,,,,,,
003805.OF,5.46,3.69,28.16,28.16,28.16,3.7,,,,,,,,,
003813.OF,11.79,4.27,26.49,26.55,26.55,4.47,,,,,,,,,
003828.OF,15.76,5.73,32.82,32.83,32.93,3.08,,,,,,,,,
003839.OF,8.94,5.15,31.44,31.44,31.44,3.12,,,,,,,,,
003842.OF,8.61,2.89,31.89,31.88,31.89,2.98,,,,,,,,,
003848.OF,9.36,2.24,27.21,27.21,27.23,1.81,,,,,,,,,
003850.OF,10.88,4.15,27.53,27.53,27.53,4.23,,,,,,,,,
003854.OF,13.21,4.3,26.73,26.7,26.64,5.91,,,,,,,,,
003861.OF,6.57,2.5,33.54,33.54,33.54,1.85,,,,,,,,,
003877.OF,11.77,7.66,30.88,30.87,30.88,7.22,,,,,,,,,
003882.OF,8.55,4.42,31.02,31.01,31.02,2.91,,,,,,,,,
003900.OF,6.84,4.07,32.19,32.19,32.19,4.74,,,,,,,,,
003950.OF,9.56,4.12,24.49,24.49,24.49,4.84,,,,,,,,,
003966.OF,11.48,4.68,28.87,28.86,28.86,4.81,,,,,,,,,
